Date,BINARY_80/20_(SHY_satellite),BINARY_80/20_(SPLV+GLD+MF_sat),GRADUATED_(SPLV+GLD+MF_sat),CONVICTION-STEP_(SPLV+GLD+MF_s,BINARY_+_MF_BEAR-ONLY,BINARY_+_MF_ALWAYS_(20%_sat),GRADUATED_+_MF_BEAR-ONLY,S&P_500_BUY-HOLD,CRDBX_buyhold,SPY_buyhold,QQQ_buyhold
2020-07-01,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
2020-07-02,10037.25,10041.89,10041.89,10041.89,10041.89,10037.47,10041.89,10045.41,10000.00,10055.07,10067.87
2020-07-06,10164.09,10182.50,10182.50,10182.50,10182.50,10178.44,10182.50,10204.95,10000.00,10210.29,10315.38
2020-07-07,10076.59,10098.55,10098.55,10098.55,10098.55,10097.29,10098.55,10094.55,10000.00,10104.99,10244.32
2020-07-08,10139.69,10166.71,10157.22,10166.71,10166.71,10163.94,10157.22,10173.56,10000.00,10182.28,10379.26
2020-07-09,10094.38,10119.82,10110.38,10119.82,10119.82,10125.44,10110.38,10116.15,10000.00,10124.31,10466.68
2020-07-10,10090.88,10119.82,10140.99,10141.70,10113.90,10118.96,10137.14,10222.03,10000.00,10227.68,10538.15
2020-07-13,10015.30,10040.81,10061.82,10062.53,10034.94,10035.84,10058.00,10126.32,10000.00,10139.12,10321.37
2020-07-14,10016.45,10056.67,10115.15,10105.17,10057.63,10040.42,10115.77,10262.08,10000.00,10270.51,10394.43
2020-07-15,10089.46,10139.18,10187.25,10188.07,10140.14,10121.87,10187.88,10355.28,10140.00,10364.87,10415.58
2020-07-16,10061.97,10104.67,10152.58,10153.40,10105.63,10086.57,10153.20,10320.01,10130.00,10330.74,10344.52
2020-07-17,10085.36,10140.00,10188.08,10188.89,10140.96,10110.37,10188.70,10349.41,10130.00,10360.69,10356.50
2020-07-20,10152.73,10212.17,10260.60,10261.42,10213.14,10183.42,10261.23,10436.41,10130.00,10444.42,10650.33
2020-07-21,10166.83,10241.66,10290.22,10291.05,10242.63,10212.33,10290.85,10453.94,10130.00,10466.64,10539.34
2020-07-22,10213.34,10306.70,10355.57,10356.40,10307.68,10265.97,10356.20,10514.02,10130.00,10526.21,10576.47
2020-07-23,10112.68,10212.31,10260.74,10261.56,10213.28,10172.06,10261.37,10384.48,10130.00,10400.62,10300.21
2020-07-24,10062.83,10162.72,10218.67,10211.73,10163.68,10122.57,10219.30,10320.20,10130.00,10333.63,10202.40
2020-07-27,10059.35,10181.43,10259.64,10246.34,10204.75,10130.20,10274.87,10396.52,10130.00,10408.99,10384.45
2020-07-28,10007.72,10134.43,10212.27,10199.04,10157.64,10082.53,10227.44,10329.22,10130.00,10342.97,10252.31
2020-07-29,10010.03,10150.71,10263.55,10240.30,10184.36,10090.02,10285.61,10457.59,10330.00,10470.18,10370.47
2020-07-30,9980.69,10113.73,10226.16,10203.00,10147.26,10060.54,10248.14,10418.38,10270.00,10432.82,10424.77
2020-07-31,10042.17,10184.65,10297.87,10274.54,10218.42,10123.22,10320.00,10498.29,10270.00,10515.26,10610.80
2020-08-03,10099.86,10249.77,10363.72,10340.24,10283.76,10192.72,10385.99,10573.68,10260.00,10588.37,10754.12
2020-08-04,10129.28,10303.61,10418.16,10394.55,10337.77,10242.67,10440.54,10611.87,10260.00,10629.27,10794.04
2020-08-05,10180.91,10363.30,10478.51,10454.77,10397.66,10298.21,10501.03,10680.10,10260.00,10695.29,10820.79
2020-08-06,10233.26,10424.99,10540.89,10517.00,10459.55,10351.16,10563.54,10748.75,10260.00,10766.78,10964.11
2020-08-07,10238.21,10417.06,10532.86,10509.00,10451.60,10334.47,10555.50,10755.55,10260.00,10774.51,10837.56
2020-08-10,10260.20,10437.45,10553.48,10529.57,10472.06,10353.52,10576.16,10785.05,10260.00,10806.71,10791.25
2020-08-11,10194.31,10315.41,10430.08,10406.45,10349.61,10249.63,10452.50,10699.10,10260.00,10717.51,10586.85
2020-08-12,10307.99,10433.26,10531.44,10525.35,10467.85,10360.32,10554.07,10848.85,10260.00,10866.93,10853.13
2020-08-13,10290.87,10431.78,10529.94,10523.85,10466.37,10340.14,10552.57,10826.64,10260.00,10847.29,10877.88
2020-08-14,10289.69,10427.00,10525.12,10519.04,10461.58,10337.31,10547.74,10824.78,10260.00,10847.61,10865.10
2020-08-17,10312.23,10472.01,10570.56,10564.44,10506.73,10375.40,10593.27,10854.11,10260.00,10882.07,10991.26
2020-08-18,10331.48,10503.25,10602.09,10595.96,10538.07,10407.50,10624.87,10879.11,10260.00,10905.58,11097.05
2020-08-19,10331.48,10468.93,10548.77,10542.66,10452.54,10382.27,10571.43,10831.20,10260.00,10860.17,11022.40
2020-08-20,10331.48,10474.90,10564.11,10555.33,10473.82,10389.88,10596.88,10865.41,10260.00,10893.98,11175.30
2020-08-21,10330.28,10469.04,10568.72,10556.94,10467.29,10388.34,10601.07,10902.80,10260.00,10932.63,11252.74
