Strategy,Entry,Exit,Return%,Regime
BINARY 80/20 (SHY satellite),2020-07-02,2020-07-10,1.76,RISK_ON
BINARY 80/20 (SHY satellite),2020-07-13,2020-07-14,1.34,RISK_OFF
BINARY 80/20 (SHY satellite),2020-07-15,2020-07-27,0.40,RISK_ON
BINARY 80/20 (SHY satellite),2020-07-28,2020-07-29,1.24,RISK_OFF
BINARY 80/20 (SHY satellite),2020-07-30,2020-08-19,3.96,RISK_ON
BINARY 80/20 (SHY satellite),2020-08-24,2020-09-01,2.78,RISK_ON
BINARY 80/20 (SHY satellite),2020-09-02,2020-09-04,-4.30,RISK_ON
BINARY 80/20 (SHY satellite),2020-09-14,2020-09-21,-3.03,RISK_ON
BINARY 80/20 (SHY satellite),2020-09-29,2020-10-01,1.36,RISK_ON
BINARY 80/20 (SHY satellite),2020-10-05,2020-10-19,0.54,RISK_ON
BINARY 80/20 (SHY satellite),2020-10-26,2020-10-27,-0.30,RISK_OFF
BINARY 80/20 (SHY satellite),2020-11-04,2020-11-13,4.12,RISK_ON
BINARY 80/20 (SHY satellite),2020-11-16,2020-11-23,-1.36,RISK_ON
BINARY 80/20 (SHY satellite),2020-11-24,2020-12-01,0.74,RISK_ON
BINARY 80/20 (SHY satellite),2020-12-03,2020-12-14,-0.52,RISK_ON
BINARY 80/20 (SHY satellite),2020-12-16,2020-12-22,-0.38,RISK_ON
BINARY 80/20 (SHY satellite),2020-12-28,2021-01-05,-0.23,RISK_ON
BINARY 80/20 (SHY satellite),2021-01-07,2021-01-19,-0.13,RISK_ON
BINARY 80/20 (SHY satellite),2021-01-20,2021-01-22,-0.27,RISK_ON
BINARY 80/20 (SHY satellite),2021-02-03,2021-02-19,2.00,RISK_ON
BINARY 80/20 (SHY satellite),2021-02-24,2021-02-26,-2.91,RISK_ON
BINARY 80/20 (SHY satellite),2021-03-02,2021-03-04,-2.63,RISK_ON
BINARY 80/20 (SHY satellite),2021-03-08,2021-03-17,4.00,RISK_ON
BINARY 80/20 (SHY satellite),2021-03-18,2021-03-19,-0.06,RISK_OFF
BINARY 80/20 (SHY satellite),2021-03-23,2021-03-24,-0.55,RISK_OFF
BINARY 80/20 (SHY satellite),2021-03-26,2021-04-20,4.04,RISK_ON
BINARY 80/20 (SHY satellite),2021-04-22,2021-05-12,-1.74,RISK_ON
BINARY 80/20 (SHY satellite),2021-05-17,2021-05-19,-1.14,RISK_ON
BINARY 80/20 (SHY satellite),2021-05-24,2021-06-04,0.78,RISK_ON
BINARY 80/20 (SHY satellite),2021-06-07,2021-06-10,0.30,RISK_ON
BINARY 80/20 (SHY satellite),2021-06-14,2021-06-15,-0.20,MIXED
BINARY 80/20 (SHY satellite),2021-06-23,2021-06-30,1.31,RISK_ON
BINARY 80/20 (SHY satellite),2021-07-02,2021-07-07,0.13,RISK_ON
BINARY 80/20 (SHY satellite),2021-07-12,2021-07-14,-0.24,RISK_ON
BINARY 80/20 (SHY satellite),2021-07-21,2021-08-03,1.48,RISK_ON
