date,action,ticker,price,shares,value,status,tag
2019-06-13,BUY,ES21M19,2881.75,8,23054.0,3,
2019-06-22,SELL,ES21M19,2951.375,8,23611.0,3,Liquidate from delisting
2019-06-22,BUY,ES20U19,2926.25,8,23410.0,3,
2019-08-08,SELL,ES20U19,2880.0,8,23040.0,3,Liquidated
2019-09-10,BUY,ES20U19,2979.25,8,23834.0,3,
2019-09-21,SELL,ES20U19,3012.875,8,24103.0,3,Liquidate from delisting
2019-09-21,BUY,ES20Z19,3008.5,8,24068.0,3,
2019-10-04,SELL,ES20Z19,2911.25,8,23290.0,3,Liquidated
2019-10-16,BUY,ES20Z19,2996.75,8,23974.0,3,
2019-12-21,SELL,ES20Z19,3219.125,8,25753.0,3,Liquidate from delisting
2019-12-21,BUY,ES20H20,3193.75,8,25550.0,3,
2020-02-27,SELL,ES20H20,3100.0,8,24800.0,3,Liquidated
2020-05-01,BUY,ES19M20,2883.0,9,25947.0,3,
2020-06-20,SELL,ES19M20,3198.125,9,28783.12,3,Liquidate from delisting
2020-06-20,BUY,ES18U20,3106.75,9,27960.75,3,
2020-09-19,SELL,ES18U20,3365.875,9,30292.88,3,Liquidate from delisting
2020-09-19,BUY,ES18Z20,3395.0,9,30555.0,3,
2020-09-23,SELL,ES18Z20,3300.75,9,29706.75,3,Liquidated
2020-09-23,BUY,SGOV,85.3447,7311,623955.32,3,
2020-10-12,SELL,SGOV,85.3491,7311,623987.42,3,Liquidated
2020-10-12,BUY,ES18Z20,3476.5,9,31288.5,3,
2020-10-29,SELL,ES18Z20,3274.5,9,29470.5,3,Liquidated
2020-10-29,BUY,SGOV,85.3534,6778,578525.26,3,
2020-11-09,SELL,SGOV,85.3535,6778,578525.96,3,Liquidated
2020-11-09,BUY,ES18Z20,3510.75,8,28086.0,3,
2020-12-19,SELL,ES18Z20,3730.5,8,29844.0,3,Liquidate from delisting
2020-12-19,BUY,ES19H21,3687.0,8,29496.0,3,
2021-02-01,SELL,ES19H21,3696.5,8,29572.0,3,Liquidated
2021-02-01,BUY,SGOV,85.3677,7312,624208.62,3,
2021-02-09,SELL,SGOV,85.3677,7312,624208.43,3,Liquidated
2021-02-09,BUY,ES19H21,3910.75,8,31286.0,3,
2021-03-20,SELL,ES19H21,3917.875,8,31343.0,3,Liquidate from delisting
2021-03-20,BUY,ES18M21,3957.5,8,31660.0,3,
2021-06-19,SELL,ES18M21,4225.75,8,33806.0,3,Liquidate from delisting
2021-06-19,BUY,ES17U21,4237.75,8,33902.0,3,
2021-07-20,SELL,ES17U21,4261.0,8,34088.0,3,Liquidated
2021-07-20,BUY,SGOV,85.383,8008,683747.23,3,
2021-07-20,BUY,DBMF,20.8784,16374,341862.31,3,
2021-07-28,SELL,SGOV,85.383,8008,683747.23,3,Liquidated
2021-07-28,SELL,DBMF,21.5314,16374,352555.87,3,Liquidated
2021-07-28,BUY,ES17U21,4383.5,8,35068.0,3,
2021-08-23,SELL,ES17U21,4437.5,8,35500.0,3,Liquidated
2021-08-23,BUY,SGOV,85.3887,8194,699675.33,3,
2021-08-23,BUY,DBMF,21.0063,16654,349838.52,3,
2021-08-26,SELL,SGOV,85.3802,8194,699605.38,3,Liquidated
2021-08-26,SELL,DBMF,21.2308,16654,353578.43,3,Liquidated
2021-08-26,BUY,ES17U21,4493.75,8,35950.0,3,
2021-09-15,BUY,SGOV,85.3824,8105,692023.97,3,
2021-09-15,BUY,DBMF,21.2075,16315,346000.5,3,
2021-09-18,SELL,ES17U21,4468.625,8,35749.0,3,Liquidate from delisting
2021-10-19,SELL,SGOV,85.3927,8105,692107.56,3,Liquidated
2021-10-19,SELL,DBMF,21.3692,16315,348638.08,3,Liquidated
2021-10-19,BUY,ES17Z21,4476.0,8,35808.0,3,
2021-12-01,SELL,ES17Z21,4585.5,8,36684.0,3,Liquidated
2021-12-01,BUY,SGOV,85.3874,8426,719474.01,3,
2021-12-01,BUY,DBMF,21.4296,16786,359716.96,3,
2021-12-09,SELL,SGOV,85.3861,8426,719462.99,3,Liquidated
