date,comod_score,reason,selected,w_COM,w_SHY,w_LIT,w_XOP,w_OIH,w_GDX,w_SIL,w_COPX,w_REMX,w_PICK,w_SLV,w_LAND,w_XLE,w_PDBA
2013-02-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-03-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-04-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-05-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-06-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-07-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-08-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-09-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-10-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-11-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2013-12-02,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-01-02,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-02-03,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-03-03,4,COMOD>=4 and top2 tactical selected,"XOP,LIT",0.5,,0.25,0.25,,,,,,,,,,
2014-04-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-05-01,3,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-06-02,4,COMOD>=4 and top2 tactical selected,"XOP,OIH",0.5,,,0.25,0.25,,,,,,,,,
2014-07-01,4,COMOD>=4 and top2 tactical selected,"XOP,OIH",0.5,,,0.25,0.25,,,,,,,,,
2014-08-01,2,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-09-02,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-10-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-11-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2014-12-01,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-01-02,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-02-02,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-03-02,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-04-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-05-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-06-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-07-01,1,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
2015-08-03,0,fallback: COMOD<4,,0.5,0.5,,,,,,,,,,,,
