Strategy,Date,Ticker,Country,Weight%,12m_Return%,AbsMom_Pass,Cash%
Trigger_A,2004-01-30,EWZ,Brazil,0.0,112.8,N,100.0
Trigger_A,2004-01-30,EWG,Germany,0.0,72.9,N,100.0
Trigger_A,2004-01-30,EWW,Mexico,0.0,62.3,N,100.0
Trigger_A,2004-01-30,EWP,Spain,0.0,56.8,N,100.0
Trigger_A,2004-01-30,EWY,South Korea,0.0,54.6,N,100.0
Trigger_A,2004-01-30,EWH,Hong Kong,0.0,52.2,N,100.0
Trigger_A,2004-01-30,EWA,Australia,0.0,50.1,N,100.0
Trigger_A,2004-02-27,EWZ,Brazil,0.0,130.8,N,100.0
Trigger_A,2004-02-27,EWG,Germany,0.0,83.6,N,100.0
Trigger_A,2004-02-27,EWW,Mexico,0.0,74.6,N,100.0
Trigger_A,2004-02-27,EWP,Spain,0.0,65.5,N,100.0
Trigger_A,2004-02-27,EWQ,France,0.0,64.5,N,100.0
Trigger_A,2004-02-27,EWT,Taiwan,0.0,61.3,N,100.0
Trigger_A,2004-02-27,EWY,South Korea,0.0,60.8,N,100.0
Trigger_A,2004-03-31,EWZ,Brazil,0.0,104.9,N,100.0
Trigger_A,2004-03-31,EWY,South Korea,0.0,89.5,N,100.0
Trigger_A,2004-03-31,EWW,Mexico,0.0,86.6,N,100.0
Trigger_A,2004-03-31,EWG,Germany,0.0,81.4,N,100.0
Trigger_A,2004-03-31,EWJ,Japan,0.0,68.3,N,100.0
Trigger_A,2004-03-31,EWQ,France,0.0,60.4,N,100.0
Trigger_A,2004-03-31,EWH,Hong Kong,0.0,59.8,N,100.0
Trigger_A,2004-04-30,EWJ,Japan,0.0,58.2,N,100.0
Trigger_A,2004-04-30,EWY,South Korea,0.0,51.1,N,100.0
Trigger_A,2004-04-30,EWT,Taiwan,0.0,48.0,N,100.0
Trigger_A,2004-04-30,EWH,Hong Kong,0.0,45.8,N,100.0
Trigger_A,2004-04-30,EWW,Mexico,0.0,45.6,N,100.0
Trigger_A,2004-04-30,EWZ,Brazil,0.0,44.2,N,100.0
Trigger_A,2004-04-30,EWG,Germany,0.0,44.0,N,100.0
Trigger_A,2004-05-28,EWJ,Japan,0.0,48.7,N,100.0
Trigger_A,2004-05-28,EWW,Mexico,0.0,43.7,N,100.0
Trigger_A,2004-05-28,EWG,Germany,0.0,40.7,N,100.0
Trigger_A,2004-05-28,EWZ,Brazil,0.0,38.9,N,100.0
Trigger_A,2004-05-28,EWT,Taiwan,0.0,37.2,N,100.0
Trigger_A,2004-05-28,EWY,South Korea,0.0,36.9,N,100.0
Trigger_A,2004-05-28,EWH,Hong Kong,0.0,36.5,N,100.0
Trigger_A,2004-06-30,EWJ,Japan,0.0,46.1,N,100.0
Trigger_A,2004-06-30,EWZ,Brazil,0.0,41.2,N,100.0
Trigger_A,2004-06-30,EWW,Mexico,0.0,41.0,N,100.0
Trigger_A,2004-06-30,EWH,Hong Kong,0.0,36.4,N,100.0
Trigger_A,2004-06-30,EWG,Germany,0.0,34.1,N,100.0
Trigger_A,2004-06-30,EWQ,France,0.0,31.4,N,100.0
Trigger_A,2004-06-30,EWL,Switzerland,0.0,29.9,N,100.0
Trigger_A,2004-07-30,EWZ,Brazil,0.0,47.6,N,100.0
Trigger_A,2004-07-30,EWW,Mexico,0.0,32.8,N,100.0
Trigger_A,2004-07-30,EWJ,Japan,0.0,30.5,N,100.0
Trigger_A,2004-07-30,EWH,Hong Kong,0.0,29.6,N,100.0
Trigger_A,2004-07-30,EWA,Australia,0.0,27.2,N,100.0
Trigger_A,2004-07-30,EWU,United Kingdom,0.0,26.1,N,100.0
Trigger_A,2004-07-30,EWC,Canada,0.0,25.0,N,100.0
