date,equity,factor,spy,jmom_etf,splv_etf
2020-09-01,100000.0,MOMENTUM,100000.0,100000.0,100000.0
2020-09-02,101880.73171991599,MOMENTUM,101446.3690308472,101199.78724781409,101869.80588326664
2020-09-03,96527.23026530608,MOMENTUM,97955.15213635199,96972.68273189566,99138.39131236426
2020-09-04,95598.49422099873,LOW-VOL,97155.39789241366,95619.4212352572,98405.0973535585
2020-09-08,93724.72533416143,LOW-VOL,94500.85287300315,92829.23260061405,96553.59648668635
2020-09-09,95652.68528409788,LOW-VOL,96367.00220047405,95117.20225247156,98570.12363617281
2020-09-10,94413.76537792922,LOW-VOL,94693.70519331694,93861.59851186037,97195.20917737304
2020-09-11,94706.0293606823,LOW-VOL,94741.89723903984,93298.00221194733,97635.20117127115
2020-09-14,95457.50120541672,LOW-VOL,95989.79543948996,95237.15396110238,98570.12363617281
2020-09-15,95619.10985692093,LOW-VOL,96474.74484391854,96185.81483242952,98790.08839589253
2020-09-16,95081.83175584748,LOW-VOL,96091.86348123633,95619.4212352572,98533.47455684718
2020-09-17,94561.58186541528,LOW-VOL,95246.72177231553,94726.57122836246,98056.79443708678
2020-09-18,94103.46168937792,LOW-VOL,94150.17744582344,94168.49635422677,97598.52866402353
2020-09-21,93315.57080835107,LOW-VOL,93102.31129238258,94084.81945613112,96632.9000026786
2020-09-22,94290.66837893668,LOW-VOL,94050.52134351384,95167.10333396183,97348.84948989215
2020-09-23,92758.62630775919,LOW-VOL,91869.38020448385,93008.15268627777,95678.29027398408
2020-09-24,93100.4860145276,LOW-VOL,92114.24814892997,93069.66508415813,95861.91051736427
2020-09-25,94074.16641611778,LOW-VOL,93603.48052209328,94968.52337037736,97055.11801308105
2020-09-28,95149.40630859151,LOW-VOL,95158.16246113552,96397.59893961609,98211.65300155022
2020-09-29,94890.76721346479,LOW-VOL,94639.92268331815,96422.7689865848,97826.14654493205
2020-09-30,95512.92533063499,LOW-VOL,95357.49336295968,97149.86365286498,98468.63387804033
2020-10-01,95794.64110936986,LOW-VOL,95969.69594418361,98019.5923375443,98744.0056733056
2020-10-02,95128.54453749902,LOW-VOL,95058.5063588259,97161.03032844322,98266.692999651
2020-10-05,96474.41103541812,LOW-VOL,96744.20896145815,98998.40998697034,99515.04201446392
2020-10-06,95427.20073178558,LOW-VOL,95368.87996076579,98131.47297118559,98744.0056733056
2020-10-07,96576.72005302775,LOW-VOL,97028.92999822563,99907.28957654999,99937.20535971504
2020-10-08,96967.41557793292,LOW-VOL,97888.85184764845,100396.68714453359,100616.48233968097
2020-10-09,97955.61025630981,LOW-VOL,98763.00227002766,101534.90008245554,101442.52744171074
2020-10-12,98967.91524174607,LOW-VOL,100351.86269969316,102689.87429047427,102415.48904264375
2020-10-13,98947.53870282903,LOW-VOL,99696.98374820249,102941.54098997307,102048.32664895672
2020-10-14,98378.1387006853,LOW-VOL,99070.55259402217,102074.59271745892,101442.52744171074
2020-10-15,98151.06998207954,LOW-VOL,98948.06720448553,101934.78413814258,101350.783699133
2020-10-16,98181.69402974643,LOW-VOL,98888.30158890717,101794.97555882626,101607.7645756231
2020-10-19,96846.95594222599,LOW-VOL,97384.84064278747,100480.58354885281,100140.9579974062
2020-10-20,96832.76107053402,LOW-VOL,97774.95782377996,100525.284021354,100269.6007171443
2020-10-21,96734.55702906165,LOW-VOL,97589.89288932209,99837.34025997417,100049.05025937443
2020-10-22,97115.53069342267,LOW-VOL,98125.1845180412,99801.01479415662,100490.19022145087
2020-10-23,97482.51494421111,LOW-VOL,98458.35936140071,100329.55201031118,100710.7719164501
2020-10-26,96460.18766713906,LOW-VOL,96638.84086304055,98718.75905814946,99644.66089761896
2020-10-27,96331.94570666376,LOW-VOL,96305.67536828351,98576.10252629149,99148.34817921704
2020-10-28,93620.80942825951,LOW-VOL,93014.05113648156,95614.53581469173,96244.12144628685
2020-10-29,93611.72727974599,LOW-VOL,93959.40051525757,96204.61357055015,96023.54756059496
2020-10-30,93545.26538723985,LOW-VOL,92979.88199446077,94356.11226336245,95637.51007107797
2020-11-02,95051.71584398771,LOW-VOL,94022.0455003961,95083.20692964263,97089.65077011875
2020-11-03,96288.89686401638,LOW-VOL,95682.076840651,96649.29940930313,98192.51238927087
2020-11-04,97314.667098755,LOW-VOL,97820.5042150044,99985.58012962124,99626.25436022914
2020-11-05,98278.47602786489,LOW-VOL,99728.27352066312,102186.46209437079,100214.45138874084
2020-11-06,98762.97446428344,LOW-VOL,99705.50032505092,102684.25718249692,100729.13940730326
2020-11-09,97437.85389954696,LOW-VOL,100958.37198201402,101079.0363113949,99865.22697400351
2020-11-10,98429.22934432297,LOW-VOL,100810.30881612476,99921.24792102278,100968.08859315563
2020-11-11,99452.7341263014,LOW-VOL,101559.2066626368,101739.04087037031,101813.61791698752
2020-11-12,98889.17784666896,LOW-VOL,100573.94809992459,101011.9236906313,101041.62884033425
2020-11-13,99946.7215749997,LOW-VOL,101966.34764872365,101666.31114162937,102291.53190730695
2020-11-16,100112.73097149337,LOW-VOL,103239.1785719561,102438.17382078724,102806.22773517671
2020-11-17,99808.16177075496,LOW-VOL,102683.91832836517,102382.22787560188,102126.12296863321
2020-11-18,98502.8309209963,LOW-VOL,101448.14526531614,101515.30211654656,100692.38099767492
2020-11-19,98955.49133987591,LOW-VOL,101875.26421487724,102438.17382078724,101115.14565959088
2020-11-20,98460.98651739254,LOW-VOL,101177.62475569765,102326.30444387536,100692.38099767492
2020-11-23,98337.27559978481,LOW-VOL,101784.12468941604,102605.94411596682,100697.89436865381
2020-11-24,98538.88849652579,LOW-VOL,103424.25285501644,103081.39459620704,101047.60296044593
2020-11-25,98458.96790573385,LOW-VOL,103264.77504551368,103668.61314279443,100918.79624525379
2020-11-27,98633.36299904218,LOW-VOL,103552.36610323886,104359.4048567159,101342.09194006855
2020-11-30,99151.0816511065,LOW-VOL,103093.92933540973,104815.21234412947,101562.96257943919
2020-12-01,99922.79850535913,LOW-VOL,104221.52971930074,105178.79344745782,102243.98884424828
2020-12-02,99475.33061472907,LOW-VOL,104440.77314438188,104703.35422394701,101636.56530107652
2020-12-03,99292.74515522571,LOW-VOL,104412.3066498666,104767.70894600429,101470.95332041205
2020-12-04,99914.58032426603,LOW-VOL,105312.10028881572,105905.89937046742,102133.5496199093
2020-12-07,99821.27911998394,LOW-VOL,105095.68949028241,106185.57281274712,101839.02940305734
2020-12-08,100434.81598455936,LOW-VOL,105403.23981427692,106716.91295452563,102538.47782387091
2020-12-09,100079.6002984983,LOW-VOL,104457.8623896935,105038.97361141208,102041.50131434546
2020-12-10,99626.70870554761,LOW-VOL,104423.69324767271,105623.46802948137,101691.80053186069
2020-12-11,99916.1434268506,LOW-VOL,104301.26394975088,105433.28558603939,102004.70385818048
2020-12-14,99431.81005565038,LOW-VOL,103834.30125647086,105849.96468201147,101691.80053186069
2020-12-15,100116.26274220405,LOW-VOL,105238.05000866615,107052.46480161422,102648.90142959522
2020-12-16,100145.99678197449,LOW-VOL,105403.23981427692,107416.05716167195,102612.08835481557
2020-12-17,100905.7799869054,LOW-VOL,105992.62245687631,108730.43791491601,103385.13168795913
2020-12-18,101101.813348871,LOW-VOL,105569.40187454438,109010.1001004663,103348.34985040882
2020-12-21,100190.50868156797,LOW-VOL,105191.94270129364,108702.47619905276,102565.04508742636
2020-12-22,99876.36292437486,LOW-VOL,105014.6558040892,109325.09715964575,102233.2666652766
2020-12-23,99855.63578293039,LOW-VOL,105109.03929460682,108736.11130654044,102159.54680402926
2020-12-24,100295.97903475311,LOW-VOL,105517.92846935519,109128.7797986734,102694.02360737989
2020-12-28,100504.95883950066,LOW-VOL,106424.44375347886,108483.71291962978,102952.08216828229
2020-12-29,100365.17266935902,LOW-VOL,106221.40145647488,108088.27527206109,102859.91672310843
2020-12-30,100181.72215803462,LOW-VOL,106372.92360527732,108736.11130654044,102694.02360737989
2020-12-31,101065.53107063448,LOW-VOL,106913.39435976377,109044.63574630709,103634.0143127423
2021-01-04,100239.08524483888,LOW-VOL,105457.89174430525,107502.09234457975,102435.98847439949
2021-01-05,100316.3571842508,LOW-VOL,106184.21271585689,108455.67240666061,102749.3369312374
2021-01-06,101015.80240308754,LOW-VOL,106819.02956645108,108483.71291962978,103615.56091950845
2021-01-07,101280.33531498804,LOW-VOL,108406.08571584025,110856.42885887719,104002.59800036438
2021-01-08,101544.97912806214,LOW-VOL,109023.76657811049,111849.28364988194,104408.06504653215
2021-01-11,101132.30533161259,LOW-VOL,108288.86358949315,111277.14912070872,103928.87813911702
2021-01-12,100861.58940255591,LOW-VOL,108311.73027113003,111540.77046684473,103431.25345708276
2021-01-13,100739.3257287602,LOW-VOL,108603.40666813377,111737.1103412759,103634.0143127423
2021-01-14,100608.3331194076,LOW-VOL,108223.09617113028,111204.19425737948,103210.07825472602
2021-01-15,100742.82428980057,LOW-VOL,107433.84040776361,110503.05760912695,103486.56678094027
2021-01-19,100854.4921668272,LOW-VOL,108277.4022028673,111652.95503218018,103831.65226278974
2021-01-20,101229.08367475627,LOW-VOL,109775.83360085916,112915.05953402769,104403.77773680494
2021-01-21,101059.05494807476,LOW-VOL,109875.91039027984,113111.41066518829,104016.22524166487
2021-01-22,101066.73768056526,LOW-VOL,109486.99917900572,112943.11130372625,103979.30283658252
2021-01-25,102047.71546690965,LOW-VOL,109918.80177840334,113167.46917766778,104809.81486240821
2021-01-26,102511.15227316812,LOW-VOL,109747.2268773069,111989.49747145714,105068.19360491137
2021-01-27,100850.4403860454,LOW-VOL,107064.94455437364,108287.38430192799,103259.5345980819
2021-01-28,100648.6610359696,LOW-VOL,107985.76320027342,110278.69973518545,103222.6512395362
2021-01-29,99112.97894056755,LOW-VOL,105823.90822813507,108708.07079357127,101746.20016675995
2021-02-01,99357.82338179123,LOW-VOL,107585.4092995784,110772.31857669914,102373.66239255467
2021-02-02,100032.61579583703,LOW-VOL,109106.68868200223,112774.80068553482,103241.08901415538
2021-02-03,99744.28708433958,LOW-VOL,109192.49015545419,112101.71580698085,102668.94792152553
2021-02-04,99849.16971545249,LOW-VOL,110433.54517889765,113391.80453815045,103314.89477778341
2021-02-05,100117.97144249087,LOW-VOL,110868.19910204803,114233.2338050841,104053.16326536192
2021-02-08,100482.41946282274,LOW-VOL,111668.8508118233,115186.80261043555,104551.42831059772
2021-02-09,100776.40097298386,LOW-VOL,111594.52942220213,115383.11997140791,104717.54008693164
2021-02-10,100783.57245287669,LOW-VOL,111545.90734076573,115327.02768874017,104662.17990723012
2021-02-11,100574.35980364637,LOW-VOL,111726.04556172295,116448.90711228306,104274.60398416803
2021-02-12,101030.09455747882,LOW-VOL,112277.96835423275,117178.09553023418,104772.91588524784
2021-02-16,100408.67350601689,LOW-VOL,112180.71484275744,116504.97688149197,103831.65226278974
2021-02-17,101077.45611401375,LOW-VOL,112206.47024255697,115831.84697602036,104551.42831059772
2021-02-18,101269.28089032722,LOW-VOL,111728.91558268064,115242.91740656212,104588.31947845074
2021-02-19,100143.5036857393,LOW-VOL,111531.61332759204,115237.30029858474,103425.64637441582
