date,factor,signals,equity
2020-09-01,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: ON; Credit LQD/SHY > 50d: ON,"$100,000"
2020-09-02,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: ON; Credit LQD/SHY > 50d: ON,"$101,881"
2020-09-03,MOMENTUM,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: ON; Credit LQD/SHY > 50d: ON,"$96,527"
2020-09-04,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,598"
2020-09-08,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,725"
2020-09-09,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,653"
2020-09-10,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,414"
2020-09-11,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,706"
2020-09-14,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: ON; Credit LQD/SHY > 50d: OFF,"$95,458"
2020-09-15,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,619"
2020-09-16,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$95,082"
2020-09-17,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,562"
2020-09-18,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,103"
2020-09-21,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,316"
2020-09-22,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$94,291"
2020-09-23,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$92,759"
2020-09-24,LOW-VOL,SPY > 200d SMA: ON; VIX < 20: OFF; 10Y Yield ROC < 0: OFF; Credit LQD/SHY > 50d: OFF,"$93,100"
