#,Date,SPY,CRDBX,SGOV,DBMF,CAOS,EqWt_3way,50_50_SGOV_CAOS
1,2023-03-07,-1.5329%,+0.0000%,+0.0299%,-1.3227%,-1.2264%,-0.8397%,-0.5982%
2,2023-03-08,+0.1632%,+0.0000%,+0.0100%,+0.2822%,+0.0210%,+0.1044%,+0.0155%
3,2023-03-09,-1.8450%,+0.0000%,+0.0299%,-0.8794%,-1.1151%,-0.6548%,-0.5426%
4,2023-03-10,-1.4429%,+0.0000%,+0.0199%,-3.0518%,-1.1277%,-1.3865%,-0.5539%
5,2023-04-04,-0.5548%,+0.0000%,+0.0200%,-0.5354%,-0.3069%,-0.2741%,-0.1435%
6,2023-04-05,-0.2618%,+0.0000%,+0.0399%,-0.6151%,-0.1151%,-0.2301%,-0.0376%
7,2023-04-06,+0.3901%,+0.0000%,+0.0299%,-0.0387%,+0.2900%,+0.0938%,+0.1600%
8,2023-04-12,-0.4076%,+0.0000%,+0.0199%,+0.4589%,-0.2334%,+0.0818%,-0.1067%
9,2023-04-13,+1.3283%,+0.0000%,+0.0598%,+0.3045%,+0.7781%,+0.3808%,+0.4190%
10,2023-04-14,-0.2443%,+0.0000%,+0.0100%,+0.5693%,-0.0667%,+0.1708%,-0.0284%
11,2023-04-17,+0.3588%,+0.0000%,+0.0000%,+0.5660%,+0.2041%,+0.2567%,+0.1020%
12,2023-04-20,-0.5457%,+0.0000%,+0.0398%,-0.1501%,-0.3213%,-0.1439%,-0.1408%
13,2023-04-26,-0.4236%,+0.0000%,+0.0000%,+0.1900%,-0.2626%,-0.0242%,-0.1313%
14,2023-04-27,+1.9908%,+0.0000%,+0.0298%,+0.7395%,+1.2387%,+0.6693%,+0.6343%
15,2023-05-05,+1.8513%,+0.0000%,+0.0100%,+0.5295%,+1.2521%,+0.5972%,+0.6310%
16,2023-05-09,-0.4385%,+0.0000%,+0.0100%,+0.4511%,-0.1955%,+0.0885%,-0.0928%
17,2023-05-10,+0.4672%,+0.0000%,+0.0199%,-0.8608%,+0.2420%,-0.1996%,+0.1310%
18,2023-05-11,-0.1744%,+0.0000%,+0.0598%,-0.2265%,-0.0575%,-0.0747%,+0.0012%
19,2023-05-16,-0.6683%,+0.0000%,+0.0299%,-0.5234%,-0.3102%,-0.2679%,-0.1402%
20,2023-05-17,+1.2139%,+0.0000%,+0.0100%,+0.3382%,+0.6224%,+0.3235%,+0.3162%
21,2023-05-18,+0.9633%,+0.0000%,+0.0299%,+0.0374%,+0.4544%,+0.1739%,+0.2421%
22,2023-05-23,-1.1223%,+0.0000%,+0.0199%,-0.2236%,-0.4890%,-0.2309%,-0.2345%
23,2023-05-24,-0.7245%,+0.0000%,+0.0000%,-0.6350%,-0.4074%,-0.3475%,-0.2037%
24,2023-05-25,+0.8660%,+0.0000%,+0.0597%,+0.4135%,+0.4717%,+0.3150%,+0.2657%
25,2023-05-26,+1.2951%,+0.0000%,+0.0298%,+0.4118%,+0.6679%,+0.3699%,+0.3489%
