Date,SPY,CRDBX,SGOV,DBMF,KMLM,ARB,CAOS
2021-01-14,-0.3502%,+0.0000%,+0.0000%,+0.6998%,+1.7981%,-0.4687%,
2021-01-15,-0.7293%,+0.0000%,+0.0050%,-1.8137%,-1.8851%,-0.2414%,
2021-01-19,+0.7852%,+0.0000%,-0.0050%,+1.2366%,+0.9493%,+0.2578%,
2021-01-27,-2.4440%,+0.0000%,+0.0000%,-1.4160%,-1.1378%,-0.4618%,
2021-01-28,+0.8600%,+0.0000%,+0.0000%,+0.5823%,-0.0755%,+0.1943%,
2021-03-23,-0.7871%,+0.0000%,+0.0070%,-2.1424%,-1.7632%,-0.0910%,
2021-04-06,-0.0591%,+0.0000%,+0.0100%,-0.2885%,+0.0726%,-0.1182%,
2021-04-07,+0.1157%,+0.2079%,-0.0100%,-0.1049%,-0.1052%,+0.0789%,
2021-04-12,+0.0365%,+0.0678%,+0.0000%,-0.0289%,-0.5973%,+0.0157%,
2021-04-15,+1.0742%,+0.0000%,+0.0000%,-0.1005%,-0.0893%,+0.0393%,
2021-04-16,+0.3342%,+0.0000%,+0.0050%,+0.5426%,+0.1252%,+0.1416%,
2021-05-18,-0.8616%,+0.0000%,+0.0050%,-0.1049%,-0.1046%,-0.2960%,
2021-05-20,+1.0758%,+0.0000%,+0.0000%,+0.4513%,-1.4751%,+0.0976%,
2021-05-24,+1.0194%,+0.0000%,+0.0080%,+0.9913%,+0.4530%,+0.1365%,
2021-05-25,-0.2219%,+0.0000%,+0.0020%,+0.1048%,-1.2266%,-0.0973%,
2021-05-26,+0.1985%,+0.0000%,-0.0050%,+0.0105%,+1.0585%,-0.0390%,
2021-05-27,+0.0525%,+0.0000%,-0.0050%,+0.7676%,+0.4758%,-0.1092%,
2021-05-28,+0.1789%,+0.1373%,+0.0100%,-0.0381%,-0.2623%,+0.8352%,
2021-06-01,-0.0881%,-0.1371%,-0.0030%,-1.0149%,+1.8854%,-0.0039%,
2021-06-02,+0.1573%,+0.2745%,+0.0000%,+0.8364%,-0.5364%,+0.0774%,
2021-06-04,+0.9146%,+0.0000%,+0.0000%,+0.5785%,+0.3702%,+0.1355%,
2021-06-07,-0.0970%,+0.0000%,+0.0020%,-0.2425%,-0.8887%,-0.0193%,
2021-06-08,+0.0213%,+0.0000%,+0.0080%,+0.1910%,+0.6598%,-0.0387%,
2021-06-09,-0.1492%,+0.0000%,-0.0050%,+0.7835%,-0.9580%,+0.0387%,
2021-06-10,+0.4648%,+0.0000%,+0.0000%,-0.3371%,+0.1188%,-0.0193%,
2021-06-11,+0.1652%,-0.0689%,+0.0000%,-0.2243%,-0.1017%,+0.0039%,
2021-06-14,+0.2239%,+0.0000%,+0.0000%,-0.0277%,+0.1188%,+0.0464%,
2021-06-15,-0.1834%,+0.0000%,+0.0000%,+0.7509%,-0.1932%,+0.0464%,
2021-06-16,-0.5583%,+0.0000%,+0.0000%,-1.3497%,-0.5162%,+0.0193%,
2021-06-17,-0.0332%,+0.0000%,-0.0030%,-1.3612%,-2.6898%,-0.1545%,
2021-06-18,-1.3446%,+0.0000%,-0.0070%,-0.8082%,-0.9015%,-0.1625%,
2021-06-21,+1.4316%,+0.0000%,+0.0000%,+1.0888%,+0.2619%,-0.0852%,
2021-06-23,-0.1205%,+0.0000%,-0.0100%,-0.1928%,+1.2575%,-0.0388%,
2021-06-24,+0.5916%,+0.0000%,+0.0000%,+0.8606%,+0.9472%,+0.0388%,
2021-06-25,+0.3552%,+0.0000%,+0.0100%,-0.1567%,-0.0174%,+0.0969%,
2021-06-28,+0.2016%,-0.0684%,-0.0100%,-0.6767%,+0.0174%,-0.0581%,
2021-06-29,+0.0538%,+0.0684%,+0.0050%,+0.0527%,+0.0869%,-0.0387%,
2021-06-30,+0.0842%,+0.2051%,+0.0000%,+0.0070%,+1.4444%,+0.0039%,
2021-07-07,+0.3534%,+0.0000%,-0.0050%,-0.2692%,-1.1278%,-0.1047%,
2021-07-08,-0.8148%,+0.0000%,+0.0000%,-0.7992%,+0.2905%,-0.5316%,
2021-07-09,+1.0675%,+0.0000%,+0.0000%,+0.8975%,+0.8089%,+0.1404%,
2021-07-12,+0.3582%,+0.0000%,+0.0000%,+0.6829%,-0.5396%,-0.1169%,
2021-07-13,-0.3409%,+0.0000%,+0.0050%,-0.5148%,+0.7222%,-0.1560%,
2021-07-14,+0.1492%,-0.0670%,-0.0050%,+0.1294%,-1.2417%,+0.1562%,
2021-07-15,-0.3416%,+0.0000%,+0.0000%,-0.5761%,+0.2125%,+0.1443%,
2021-07-16,-0.7844%,+0.0000%,+0.0050%,-0.1896%,+0.1237%,+0.3232%,
2021-07-19,-1.4768%,+0.0000%,+0.0000%,-2.7094%,-2.4038%,-0.3183%,
2021-07-20,+1.4330%,+0.0000%,-0.0050%,+0.8825%,+0.9621%,+0.0078%,
2021-08-17,-0.6555%,+0.0000%,-0.0200%,-1.3333%,-0.9059%,-0.2735%,
2021-08-18,-1.0945%,+0.0000%,+0.0150%,-1.3692%,-0.4219%,+0.5212%,
