date,equity,spy
2016-01-29,100000.0,95021.3664835422
2016-02-29,102033.80127905346,94942.88583082902
2016-03-31,110656.38214620699,101329.29641172008
2016-04-29,107246.29616476105,101728.66729484158
2016-05-31,107845.32114532862,103459.2509058347
2016-06-30,115512.1315642248,103818.83835917416
2016-07-29,112979.41883255656,107605.23180802222
2016-08-31,108127.59802154759,107734.11952337596
2016-09-30,110583.1556197421,107740.36300503099
2016-10-31,105934.58406870616,105872.45812142733
2016-11-30,108852.10614813677,109772.63836111697
2016-12-30,108292.81728876317,111997.90529865831
2017-01-31,108440.08597658205,114002.08057182169
2017-02-28,114673.26441591747,118481.41217487754
2017-03-31,109152.0984915431,118629.52486839678
2017-04-28,107523.23093250983,119807.02608044464
2017-05-31,114857.98695674042,121497.87041640579
2017-06-30,108099.62632252296,122272.38005582926
2017-07-31,111596.98435572653,124785.5977802524
2017-08-31,116614.8941389189,125149.6890180955
2017-09-29,119763.09475286327,127671.36679262546
2017-10-31,131796.1909946451,130679.83302439727
2017-11-30,126854.08273090527,134674.21300781274
2017-12-29,127332.20962488589,136307.48838067753
2018-01-31,136604.73171812168,143989.63776326165
2018-02-28,129202.53966587334,138754.18255869712
2018-03-29,130315.13345442699,134950.84251678543
2018-04-30,134079.00696551838,135648.25796264687
2018-05-31,143040.32308751997,138945.79651195137
2018-06-29,139281.91689986264,139744.8208685946
2018-07-31,139409.2818612306,144921.93881741216
2018-08-31,154490.87658324238,149547.77588108595
2018-09-28,157959.87343202453,150436.87592780168
2018-10-31,138533.76093469068,140041.08157943306
2018-11-30,136683.19994547544,142638.7585097242
2018-12-31,123251.95477089426,130079.61984526411
2019-01-31,128051.66217010075,140494.5420313481
2019-02-28,126484.6284797581,145048.78658331427
2019-03-29,128730.39914830794,147674.26334422777
2019-04-30,124407.01493385897,153707.1003487342
2019-05-31,113752.03546124893,143905.01076934356
2019-06-28,114995.73015687909,153918.84886800466
2019-07-31,119405.1654082666,156245.980813878
2019-08-30,115370.72394917077,153629.97083137213
2019-09-30,114315.88921943448,156619.2474087785
2019-10-31,113570.32432288643,160081.26240196542
2019-11-29,110415.98900183922,165875.84920623005
2019-12-31,114394.47438624423,170695.51679160987
2020-01-31,115404.243257492,170626.52941015435
2020-02-28,108046.1513939075,157118.76126498063
2020-03-31,96981.72480340012,137499.18092938684
2020-04-30,107596.16435233694,154959.32905974225
2020-05-29,112539.26820141416,162342.35650368562
2020-06-30,122630.49745754858,165221.44048690327
2020-07-31,133067.39498428532,174951.71678083614
