date,sectors,n_stocks,top_stocks,equity
2016-01-29,Utilities(+12.15%),10,"NI, PPL, EVRG, AEE, XEL","$100,000"
2016-02-29,Utilities(+13.86%),10,"NI, PPL, EVRG, XEL, WEC","$102,034"
2016-03-31,Utilities(+11.09%),10,"NI, XEL, WEC, PPL, AEE","$110,656"
2016-04-29,Materials(+9.85%),10,"VMC, MLM, STLD, SHW, DD","$107,246"
2016-05-31,Utilities(+8.05%),10,"EVRG, NI, PNW, WEC, AEE","$107,845"
2016-06-30,Utilities(+11.94%),10,"EVRG, NI, PPL, WEC, PNW","$115,512"
2016-07-29,Materials(+5.71%),10,"NEM, VMC, STLD, MLM, NUE","$112,979"
2016-08-31,Information Technology(+2.92%),10,"ADBE, ACN, NVDA, KLAC, FICO","$108,128"
2016-09-30,Energy(+6.56%),10,"APA, OKE, TPL, HAL, XOM","$110,583"
2016-10-31,Information Technology(+6.66%),10,"ADBE, NVDA, HPE, GEN, NXPI","$105,935"
2016-11-30,Financials(+12.56%),10,"CINF, ALL, SPGI, ACGL, FIS","$108,852"
2016-12-30,Financials(+18.96%),10,"CINF, BAC, RF, KEY, FITB","$108,293"
2017-01-31,Financials(+14.03%),10,"BAC, RF, FITB, MS, KEY","$108,440"
2017-02-28,Financials(+9.65%),10,"BAC, RF, MS, KEY, RJF","$114,673"
2017-03-31,Financials(+5.18%),10,"BAC, RF, MS, KEY, RJF","$109,152"
2017-04-28,Information Technology(+3.00%),10,"NVDA, MU, STX, WDC, GEN","$107,523"
2017-05-31,Information Technology(+6.99%),10,"NVDA, MU, STX, WDC, GEN","$114,858"
2017-06-30,Health Care(+5.15%),10,"ALGN, IDXX, MTD, CI, INCY","$108,100"
2017-07-31,Health Care(+3.27%),10,"CI, ALGN, IDXX, ELV, PODD","$111,597"
2017-08-31,Information Technology(+4.26%),10,"DELL, ADBE, NVDA, WDC, MU","$116,615"
2017-09-29,Information Technology(+4.46%),10,"CTSH, DELL, ADBE, NVDA, MU","$119,763"
2017-10-31,Information Technology(+6.16%),10,"DELL, NVDA, CTSH, MU, LRCX","$131,796"
2017-11-30,Financials(+6.26%),10,"ALL, PYPL, BAC, GPN, MSCI","$126,854"
2017-12-29,Information Technology(+4.70%),10,"ADBE, FSLR, MU, NVDA, LRCX","$127,332"
2018-01-31,Consumer Discretionary(+5.64%),10,"BBY, NVR, DECK, DHI, WYNN","$136,605"
2018-02-28,Consumer Discretionary(+5.70%),10,"BBY, DECK, WYNN, MAR, NVR","$129,203"
2018-03-29,Consumer Discretionary(+5.61%),10,"DECK, BBY, LULU, MAR, WYNN","$130,315"
2018-04-30,Energy(+6.34%),10,"TPL, VLO, MPC, PSX, EOG","$134,079"
2018-05-31,Energy(+11.20%),10,"TPL, VLO, PSX, MPC, OXY","$143,040"
2018-06-29,Consumer Discretionary(+7.14%),10,"DECK, LULU, RL, WYNN, TSCO","$139,282"
2018-07-31,Consumer Discretionary(+1.97%),10,"DECK, LULU, RL, ROST, BBY","$139,409"
2018-08-31,Health Care(+4.56%),10,"ALGN, MOH, HCA, IDXX, ISRG","$154,491"
2018-09-28,Health Care(+6.45%),10,"ALGN, MOH, PODD, HCA, IDXX","$157,960"
